,Total death,Total confirmed
1/22/20,17,557
1/23/20,18,657
1/24/20,26,944
1/25/20,42,1437
1/26/20,56,2120
1/27/20,82,2929
1/28/20,131,5580
1/29/20,133,6169
1/30/20,171,8237
1/31/20,213,9927
2/1/20,259,12038
2/2/20,362,16787
2/3/20,426,19887
2/4/20,492,23899
2/5/20,564,27644
2/6/20,634,30806
2/7/20,719,34400
2/8/20,806,37131
2/9/20,906,40162
2/10/20,1013,42771
2/11/20,1113,44814
2/12/20,1118,45232
2/13/20,1371,60384
2/14/20,1523,66912
2/15/20,1666,69055
2/16/20,1770,71238
2/17/20,1868,73273
2/18/20,2008,75155
2/19/20,2123,75655
2/20/20,2248,76216
2/21/20,2252,76846
2/22/20,2459,78608
2/23/20,2470,78990
2/24/20,2630,79558
2/25/20,2710,80412
2/26/20,2771,81385
2/27/20,2814,82730
2/28/20,2873,84154
2/29/20,2943,86030
3/1/20,2997,88410
3/2/20,3086,90393
3/3/20,3160,93004
3/4/20,3255,95329
3/5/20,3348,98046
3/6/20,3461,101976
3/7/20,3566,106122
3/8/20,3807,109972
3/9/20,3997,114299
3/10/20,4273,119108
3/11/20,4618,126628
3/12/20,4930,133383
3/13/20,5420,146673
3/14/20,5843,157617
3/15/20,6496,168876
3/16/20,7178,183394
3/17/20,7989,198691
3/18/20,8907,216348
3/19/20,10017,243464
3/20/20,11504,273008
3/21/20,13233,305423
3/22/20,14919,339895
3/23/20,16886,382799
3/24/20,19201,424883
3/25/20,22022,475998
3/26/20,25058,537412
3/27/20,28538,601349
3/28/20,32374,670495
3/29/20,35838,726726
3/30/20,39895,791975
3/31/20,44661,870403
4/1/20,50714,951968
4/2/20,56593,1034275
4/3/20,62818,1118277
4/4/20,68781,1178363
4/5/20,74091,1250388
4/6/20,79957,1324899
4/7/20,88306,1393878
4/8/20,95132,1475875
4/9/20,103003,1562641
4/10/20,110565,1649186
4/11/20,117084,1724605
4/12/20,122922,1843412
4/13/20,128975,1915034
4/14/20,136189,1999558
4/15/20,144551,2077371
4/16/20,152026,2171785
4/17/20,160597,2259607
4/18/20,166983,2337796
4/19/20,172419,2414457
4/20/20,178322,2490365
4/21/20,185709,2566638
4/22/20,192772,2648575
4/23/20,199676,2731191
4/24/20,206617,2815227
4/25/20,212567,2898734
4/26/20,216860,2969606
4/27/20,221730,3040528
4/28/20,228524,3116384
4/29/20,235484,3193728
4/30/20,241546,3277569
5/1/20,247086,3366610
5/2/20,252954,3444963
5/3/20,256815,3519124
5/4/20,261181,3596509
5/5/20,267419,3676148
5/6/20,274166,3766682
5/7/20,279841,3855363
5/8/20,285765,3945796
5/9/20,290382,4030370
5/10/20,294434,4105623
5/11/20,298258,4181599
5/12/20,304137,4266956
5/13/20,309590,4351289
5/14/20,315235,4446958
5/15/20,320957,4543309
5/16/20,325507,4637420
5/17/20,329094,4715828
5/18/20,333226,4804896
5/19/20,338357,4900709
5/20/20,343748,5006098
5/21/20,348701,5111869
5/22/20,354391,5219113
5/23/20,358772,5323546
5/24/20,362256,5416800
5/25/20,363762,5504947
5/26/20,368384,5597803
5/27/20,373744,5700329
5/28/20,378794,5819994
5/29/20,383955,5941624
5/30/20,388246,6077040
5/31/20,391387,6180060
6/1/20,395023,6280295
6/2/20,400307,6403452
6/3/20,405976,6514704
6/4/20,411408,6652816
6/5/20,416538,6786462
6/6/20,420638,6915944
6/7/20,423764,7026913
6/8/20,428095,7129984
6/9/20,433202,7256296
6/10/20,438638,7393420
6/11/20,443725,7529260
6/12/20,448457,7656732
6/13/20,452864,7790658
6/14/20,456522,7922544
6/15/20,460508,8047365
6/16/20,467638,8191582
6/17/20,473117,8334713
6/18/20,478443,8477436
6/19/20,484794,8658513
6/20/20,489232,8844373
6/21/20,493820,8937378
6/22/20,497614,9079531
6/23/20,503191,9247900
6/24/20,508663,9419318
6/25/20,513746,9598760
6/26/20,518822,9791219
6/27/20,523516,9967564
6/28/20,527091,10136030
6/29/20,531108,10288516
6/30/20,536343,10472384
7/1/20,541720,10687358
7/2/20,547195,10891989
7/3/20,552434,11094486
7/4/20,557196,11284153
7/5/20,560995,11470134
7/6/20,565214,11637921
7/7/20,571595,11847613
7/8/20,577225,12062727
7/9/20,583029,12286929
7/10/20,588771,12520120
7/11/20,593874,12732940
7/12/20,598161,12925795
7/13/20,602539,13119978
7/14/20,608526,13341228
7/15/20,614423,13570475
7/16/20,620588,13815423
7/17/20,627582,14052931
7/18/20,634080,14288255
7/19/20,638971,14500045
7/20/20,642893,14708010
7/21/20,649249,14951216
7/22/20,656622,15226370
7/23/20,663262,15506176
7/24/20,669717,15789855
7/25/20,675792,16039874
7/26/20,680145,16251876
7/27/20,685422,16485970
7/28/20,692366,16750378
7/29/20,699019,17020683
7/30/20,705765,17302398
7/31/20,712354,17590139
8/1/20,718356,17836459
8/2/20,723008,18067258
8/3/20,727807,18273126
8/4/20,734978,18538725
8/5/20,742360,18813891
8/6/20,749183,19100779
8/7/20,755920,19383346
8/8/20,761937,19648704
8/9/20,767106,19881828
8/10/20,772469,20114986
8/11/20,779101,20380901
8/12/20,786048,20655874
8/13/20,792840,20946152
8/14/20,799421,21253357
8/15/20,805439,21502504
8/16/20,810225,21712470
8/17/20,814842,21925202
8/18/20,821893,22184878
8/19/20,828302,22462174
8/20/20,834739,22733737
8/21/20,840476,22995372
8/22/20,846274,23259262
8/23/20,850586,23461913
8/24/20,855405,23689874
8/25/20,861970,23935395
8/26/20,868511,24216923
8/27/20,874717,24504286
8/28/20,880534,24788308
8/29/20,886339,25049234
8/30/20,890600,25268721
8/31/20,895016,25532915
9/1/20,901614,25799961
9/2/20,907908,26081684
9/3/20,914006,26367155
9/4/20,919857,26668484
9/5/20,924962,26942579
9/6/20,929078,27171425
9/7/20,938684,27388647
9/8/20,943817,27635108
9/9/20,950075,27920198
9/10/20,956075,28224526
9/11/20,962068,28540571
9/12/20,967111,28829522
9/13/20,971055,29077861
9/14/20,975643,29344666
9/15/20,982216,29625435
9/16/20,988076,29930164
9/17/20,993715,30245671
9/18/20,999566,30572204
9/19/20,1004872,30865453
9/20/20,1008828,31120328
9/21/20,1013231,31379941
9/22/20,1019388,31664524
9/23/20,1025913,31976020
9/24/20,1031593,32296974
9/25/20,1037605,32627009
9/26/20,1043037,32912795
9/27/20,1046878,33159720
9/28/20,1050951,33422154
9/29/20,1057046,33704878
9/30/20,1063488,34029064
10/1/20,1072373,34348123
10/2/20,1077969,34677398
10/3/20,1082692,34974925
10/4/20,1086683,35234896
10/5/20,1093722,35545684
10/6/20,1099576,35861610
10/7/20,1105467,36210441
10/8/20,1111833,36569594
10/9/20,1118024,36929526
10/10/20,1122904,37285304
10/11/20,1127028,37574457
10/12/20,1131078,37863579
10/13/20,1136463,38182776
10/14/20,1142654,38562855
10/15/20,1148837,38969768
10/16/20,1155025,39379883
10/17/20,1160737,39752164
10/18/20,1164590,40083136
10/19/20,1169292,40456866
10/20/20,1175943,40845307
10/21/20,1182798,41284295
10/22/20,1188695,41766190
10/23/20,1195788,42259515
10/24/20,1201651,42716450
10/25/20,1205906,43075322
10/26/20,1211520,43558090
10/27/20,1218996,44025218
10/28/20,1226179,44545383
10/29/20,1233380,45095586
10/30/20,1241057,45667506
10/31/20,1247660,46140575
11/1/20,1252779,46578400
11/2/20,1258854,47124198
11/3/20,1268427,47687425
11/4/20,1278499,48179310
11/5/20,1287166,48797411
11/6/20,1296318,49418093
11/7/20,1304068,50018672
11/8/20,1310158,50508050
11/9/20,1317391,51015403
11/10/20,1327237,51584096
11/11/20,1337787,52207963
11/12/20,1347560,52849151
11/13/20,1357352,53511417
11/14/20,1366475,54098134
11/15/20,1373087,54588217
11/16/20,1380828,55110808
11/17/20,1391876,55711715
11/18/20,1403334,56333460
11/19/20,1414453,56987261
11/20/20,1426213,57662062
11/21/20,1435353,58256736
11/22/20,1442824,58755059
11/23/20,1451132,59284340
11/24/20,1463736,59875552
11/25/20,1475890,60492637
11/26/20,1486891,61086017
11/27/20,1498394,61780309
11/28/20,1507860,62388266
11/29/20,1515172,62884417
11/30/20,1523873,63386323
12/1/20,1536532,64000138
12/2/20,1549160,64639957
12/3/20,1561779,65331231
12/4/20,1574187,66028144
12/5/20,1584737,66672361
12/6/20,1592557,67216558
12/7/20,1600972,67749990
12/8/20,1613132,68380601
